No,Title,Artist,From,Got,Sorted,location,filename
118,Alive,Pearl Jam,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Pearl Jam - Alive,Pearl Jam - Alive
119,Lump,Presidents of the United States of America,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Presidents of the United States of America - Lump,Presidents of the United States of America - Lump
120,Testify,Rage Against the Machine,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Rage Against the Machine - Testify,Rage Against the Machine - Testify
121,Round and Round,Ratt,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Ratt - Round and Round,Ratt - Round and Round
122,Give It Away,Red Hot Chili Peppers,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Red Hot Chili Peppers - Give It Away,Red Hot Chili Peppers - Give It Away
123,Give It All,Rise Against,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Rise Against - Give It All,Rise Against - Give It All
124,The Trees (Vault Edition),Rush,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Rush - The Trees (Vault Edition),Rush - The Trees (Vault Edition)
125,Lazy Eye,Silversun Pickups,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Silversun Pickups - Lazy Eye,Silversun Pickups - Lazy Eye
126,I Was Wrong,Social Distortion,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Social Distortion - I Was Wrong,Social Distortion - I Was Wrong
127,Teen Age Riot,Sonic Youth,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Sonic Youth - Teen Age Riot,Sonic Youth - Teen Age Riot
128,Spoonman,Soundgarden,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Soundgarden - Spoonman,Soundgarden - Spoonman
129,Conventional Lover,Speck,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Speck - Conventional Lover,Speck - Conventional Lover
130,Cool for Cats,Squeeze,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Squeeze - Cool for Cats,Squeeze - Cool for Cats
131,Bodhisattva,Steely Dan,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Steely Dan - Bodhisattva,Steely Dan - Bodhisattva
132,Rock'n Me,Steve Miller Band,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Steve Miller Band - Rock'n Me,Steve Miller Band - Rock'n Me
133,Eye of the Tiger,Survivor,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Survivor - Eye of the Tiger,Survivor - Eye of the Tiger
134,Chop Suey,System of a Down,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/System of a Down - Chop Suey,System of a Down - Chop Suey
135,Psycho Killer,Talking Heads,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Talking Heads - Psycho Killer,Talking Heads - Psycho Killer
136,Master Exploder,Tenacious D,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Tenacious D - Master Exploder,Tenacious D - Master Exploder
137,Souls of Black,Testament,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Testament - Souls of Black,Testament - Souls of Black
138,Rob the Prez-O-Dent,That Handsome Devil,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/That Handsome Devil - Rob the Prez-O-Dent,That Handsome Devil - Rob the Prez-O-Dent
139,Ramblin' Man,The Allman Brothers Band,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Allman Brothers Band - Ramblin' Man,The Allman Brothers Band - Ramblin' Man
140,New Kid in School,The Donnas,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Donnas - New Kid in School,The Donnas - New Kid in School
141,We Got the Beat,Go-Go's,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Go-Go's - We Got the Beat,Go-Go's - We Got the Beat
142,Alabama Getaway,The Grateful Dead,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Grateful Dead - Alabama Getaway,The Grateful Dead - Alabama Getaway
143,American Woman,The Guess Who,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Guess Who - American Woman,The Guess Who - American Woman
144,A Jagged Gorgeous Winter,The Main Drag,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Main Drag - A Jagged Gorgeous Winter,The Main Drag - A Jagged Gorgeous Winter
145,Where'd You Go?,The Mighty Mighty Bosstones,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Mighty Mighty Bosstones - Where'd You Go?,The Mighty Mighty Bosstones - Where'd You Go?
